p,max_size,num_components,sizes
1e-05,4,9511,"{1: 9066, 3: 38, 2: 404, 4: 3}"
1e-05,4,9527,"{1: 9104, 2: 381, 3: 34, 4: 8}"
1e-05,4,9464,"{1: 8985, 2: 429, 3: 43, 4: 7}"
1e-05,4,9500,"{1: 9045, 2: 417, 3: 31, 4: 7}"
1e-05,4,9500,"{1: 9048, 2: 410, 3: 36, 4: 6}"
1e-05,4,9500,"{1: 9052, 2: 400, 4: 4, 3: 44}"
1e-05,4,9509,"{1: 9062, 2: 407, 3: 36, 4: 4}"
1e-05,4,9467,"{1: 8980, 3: 32, 2: 448, 4: 7}"
1e-05,5,9527,"{1: 9094, 2: 400, 4: 3, 3: 28, 5: 2}"
1e-05,4,9518,"{1: 9067, 2: 421, 3: 29, 4: 1}"
2e-05,7,9045,"{1: 8268, 2: 649, 4: 29, 3: 91, 7: 1, 6: 3, 5: 4}"
2e-05,7,8994,"{1: 8182, 2: 669, 3: 111, 5: 9, 7: 2, 4: 19, 6: 2}"
2e-05,6,9019,"{1: 8216, 4: 19, 3: 115, 2: 661, 5: 7, 6: 1}"
2e-05,5,9031,"{1: 8234, 5: 12, 2: 669, 3: 96, 4: 20}"
2e-05,6,8990,"{1: 8168, 2: 680, 3: 107, 5: 5, 4: 27, 6: 3}"
2e-05,8,9056,"{1: 8293, 2: 634, 4: 30, 3: 90, 5: 7, 8: 1, 6: 1}"
2e-05,7,8950,"{1: 8099, 2: 700, 3: 116, 4: 27, 5: 5, 6: 1, 7: 2}"
2e-05,6,9000,"{1: 8179, 2: 682, 3: 110, 4: 21, 6: 3, 5: 5}"
2e-05,6,8933,"{1: 8081, 3: 119, 4: 29, 2: 692, 5: 10, 6: 2}"
2e-05,5,8999,"{1: 8161, 2: 707, 3: 107, 4: 16, 5: 8}"
3e-05,8,8516,"{1: 7432, 2: 821, 3: 172, 4: 62, 6: 6, 5: 18, 7: 4, 8: 1}"
3e-05,7,8538,"{1: 7434, 2: 849, 3: 181, 4: 53, 5: 15, 6: 4, 7: 2}"
3e-05,8,8466,"{1: 7374, 2: 804, 8: 4, 4: 58, 3: 196, 6: 8, 5: 18, 7: 4}"
3e-05,8,8535,"{1: 7445, 2: 845, 4: 46, 7: 4, 3: 167, 5: 18, 6: 9, 8: 1}"
3e-05,8,8509,"{1: 7416, 2: 821, 4: 56, 7: 3, 3: 189, 6: 7, 5: 16, 8: 1}"
3e-05,9,8489,"{1: 7379, 4: 52, 2: 861, 3: 160, 5: 23, 6: 6, 8: 2, 7: 5, 9: 1}"
3e-05,10,8475,"{1: 7363, 2: 853, 3: 161, 5: 26, 4: 62, 6: 6, 10: 1, 8: 1, 7: 1, 9: 1}"
3e-05,10,8497,"{1: 7399, 2: 826, 3: 189, 4: 54, 5: 16, 7: 2, 8: 1, 10: 1, 6: 9}"
3e-05,11,8480,"{1: 7384, 2: 829, 3: 180, 4: 50, 6: 5, 7: 8, 5: 21, 8: 2, 11: 1}"
3e-05,9,8529,"{1: 7446, 2: 824, 3: 185, 5: 16, 4: 44, 6: 8, 9: 1, 8: 3, 7: 2}"
4e-05,15,8010,"{1: 6708, 2: 909, 3: 237, 4: 88, 5: 36, 15: 1, 10: 2, 8: 5, 9: 1, 7: 9, 6: 14}"
4e-05,9,8000,"{1: 6693, 6: 25, 4: 71, 2: 915, 3: 235, 5: 49, 7: 6, 8: 3, 9: 3}"
4e-05,14,7929,"{1: 6584, 2: 933, 4: 85, 3: 249, 5: 47, 6: 18, 9: 1, 7: 3, 11: 2, 14: 1, 8: 3, 10: 3}"
4e-05,13,7935,"{1: 6619, 2: 901, 8: 5, 3: 242, 5: 34, 6: 16, 4: 100, 9: 1, 7: 12, 13: 1, 10: 3, 11: 1}"
4e-05,10,7950,"{1: 6630, 2: 896, 5: 44, 3: 261, 4: 84, 6: 21, 9: 4, 7: 5, 10: 1, 8: 4}"
4e-05,17,8004,"{1: 6698, 2: 897, 4: 89, 3: 257, 5: 34, 8: 4, 7: 9, 6: 12, 17: 1, 9: 3}"
4e-05,11,8069,"{1: 6790, 3: 226, 2: 908, 5: 39, 4: 74, 7: 7, 10: 1, 6: 17, 9: 5, 8: 1, 11: 1}"
4e-05,12,8008,"{1: 6705, 5: 43, 4: 84, 3: 228, 6: 15, 2: 916, 7: 11, 12: 2, 11: 1, 9: 2, 8: 1}"
4e-05,15,8054,"{1: 6762, 13: 1, 6: 14, 2: 919, 5: 35, 4: 87, 3: 223, 7: 8, 8: 2, 12: 2, 15: 1}"
4e-05,14,7997,"{1: 6679, 5: 35, 3: 248, 2: 922, 4: 76, 7: 5, 6: 25, 9: 1, 8: 3, 10: 1, 14: 1, 12: 1}"
