p,max_size,num_components,sizes
5e-05,17,7474,"{1: 6060, 4: 126, 2: 877, 5: 46, 3: 287, 8: 9, 6: 36, 11: 2, 7: 14, 15: 1, 9: 7, 12: 4, 17: 1, 10: 4}"
5e-05,22,7505,"{2: 944, 1: 6060, 3: 274, 6: 28, 4: 103, 5: 57, 9: 5, 16: 1, 7: 16, 10: 2, 13: 2, 11: 1, 8: 7, 22: 1, 14: 2, 12: 1, 17: 1}"
5e-05,17,7512,"{1: 6114, 4: 121, 2: 903, 10: 7, 6: 29, 3: 251, 7: 9, 5: 49, 8: 7, 9: 12, 15: 1, 12: 3, 13: 2, 11: 3, 17: 1}"
6e-05,29,7025,"{3: 304, 2: 900, 1: 5516, 6: 42, 5: 67, 28: 1, 4: 125, 7: 23, 8: 17, 10: 9, 23: 1, 14: 4, 17: 1, 9: 8, 15: 1, 11: 3, 12: 1, 13: 1, 29: 1}"
6e-05,21,7068,"{1: 5550, 2: 936, 4: 127, 6: 43, 5: 58, 3: 282, 8: 16, 18: 1, 7: 23, 9: 10, 11: 5, 14: 2, 10: 5, 15: 1, 13: 5, 21: 1, 12: 1, 17: 1, 16: 1}"
6e-05,25,6973,"{5: 82, 1: 5434, 7: 15, 2: 939, 3: 303, 4: 109, 6: 40, 9: 9, 20: 3, 23: 1, 8: 16, 14: 2, 15: 1, 10: 5, 13: 4, 11: 4, 16: 3, 25: 1, 17: 2}"
6e-05,19,6878,"{1: 5334, 2: 924, 4: 132, 17: 2, 3: 282, 5: 80, 6: 39, 8: 21, 11: 9, 7: 27, 18: 1, 16: 2, 15: 3, 10: 6, 19: 1, 13: 2, 9: 12, 12: 1}"
6e-05,44,6972,"{1: 5452, 2: 926, 3: 278, 5: 69, 4: 126, 7: 28, 22: 1, 9: 12, 8: 14, 6: 40, 10: 6, 11: 10, 16: 3, 12: 5, 13: 1, 44: 1}"
6e-05,22,7085,"{1: 5605, 3: 259, 2: 906, 5: 63, 6: 42, 11: 5, 8: 12, 21: 2, 4: 145, 14: 2, 10: 6, 15: 3, 16: 2, 9: 6, 12: 2, 7: 21, 17: 2, 22: 1, 20: 1}"
6e-05,25,7009,"{4: 123, 2: 938, 1: 5455, 3: 310, 7: 24, 10: 7, 5: 77, 8: 11, 6: 40, 13: 3, 12: 4, 9: 10, 25: 1, 16: 1, 11: 2, 20: 1, 22: 1, 14: 1}"
6e-05,20,6983,"{1: 5448, 2: 940, 3: 294, 7: 15, 4: 125, 5: 56, 11: 4, 6: 39, 17: 1, 18: 1, 9: 12, 10: 7, 8: 28, 12: 3, 20: 2, 16: 2, 13: 4, 15: 2}"
6e-05,21,7095,"{2: 915, 1: 5585, 5: 64, 3: 298, 9: 8, 4: 129, 6: 36, 12: 4, 8: 14, 13: 3, 7: 23, 10: 7, 11: 3, 21: 1, 16: 1, 14: 1, 18: 2, 17: 1}"
6e-05,27,7077,"{3: 287, 1: 5600, 2: 889, 6: 31, 5: 70, 12: 6, 7: 19, 4: 126, 9: 15, 13: 4, 8: 14, 15: 2, 21: 1, 11: 3, 10: 6, 18: 1, 14: 2, 27: 1}"
7e-05,40,6508,"{2: 856, 3: 271, 1: 4998, 5: 63, 6: 50, 4: 149, 12: 8, 13: 8, 29: 1, 8: 28, 32: 1, 11: 12, 40: 1, 9: 13, 10: 12, 28: 1, 20: 1, 14: 2, 18: 2, 7: 27, 17: 1, 16: 1, 19: 2}"
7e-05,27,6447,"{1: 4864, 3: 352, 7: 29, 5: 78, 15: 5, 2: 867, 9: 12, 6: 45, 4: 130, 12: 8, 8: 18, 13: 7, 10: 14, 22: 2, 21: 1, 19: 4, 11: 6, 27: 1, 23: 1, 24: 1, 14: 2}"
7e-05,33,6493,"{5: 77, 1: 4948, 3: 316, 6: 42, 2: 860, 8: 24, 4: 128, 9: 20, 23: 1, 12: 8, 10: 14, 7: 30, 22: 1, 19: 2, 13: 5, 15: 2, 16: 2, 20: 1, 11: 6, 25: 1, 18: 1, 14: 2, 17: 1, 33: 1}"
7e-05,52,6531,"{4: 148, 1: 5025, 2: 851, 25: 3, 3: 271, 7: 26, 6: 51, 10: 9, 16: 6, 5: 84, 11: 11, 15: 2, 8: 16, 22: 1, 9: 11, 13: 4, 23: 1, 18: 1, 12: 4, 27: 1, 17: 2, 52: 1, 14: 1, 31: 1}"
7e-05,45,6526,"{1: 5006, 2: 850, 16: 6, 8: 15, 3: 311, 5: 80, 4: 131, 6: 44, 7: 22, 28: 2, 17: 1, 11: 8, 12: 7, 10: 11, 9: 19, 18: 4, 15: 2, 25: 1, 13: 1, 23: 1, 34: 1, 14: 1, 45: 1, 21: 1}"
7e-05,42,6521,"{1: 5012, 2: 835, 7: 33, 4: 122, 3: 313, 6: 44, 10: 14, 5: 77, 12: 1, 16: 4, 9: 21, 42: 1, 15: 3, 31: 1, 13: 3, 8: 17, 37: 1, 11: 6, 14: 9, 17: 1, 20: 1, 21: 1, 26: 1}"
7e-05,55,6559,"{1: 5033, 9: 14, 8: 20, 2: 881, 3: 280, 5: 75, 4: 129, 6: 50, 10: 11, 13: 7, 7: 37, 55: 1, 12: 7, 25: 2, 14: 3, 16: 1, 34: 1, 29: 2, 15: 1, 21: 1, 20: 1, 11: 1, 22: 1}"
7e-05,38,6441,"{1: 4912, 4: 136, 5: 80, 2: 842, 3: 312, 6: 42, 7: 32, 11: 12, 23: 1, 10: 18, 38: 1, 14: 2, 8: 15, 25: 2, 9: 13, 36: 1, 12: 4, 13: 3, 16: 2, 15: 4, 21: 1, 18: 2, 17: 1, 31: 1, 20: 2}"
7e-05,30,6566,"{1: 5043, 2: 852, 5: 95, 4: 155, 18: 2, 3: 281, 7: 19, 28: 1, 8: 16, 10: 12, 6: 41, 9: 18, 13: 4, 12: 6, 15: 3, 17: 3, 11: 8, 14: 1, 21: 1, 20: 1, 19: 1, 23: 1, 27: 1, 30: 1}"
7e-05,22,6447,"{4: 145, 1: 4910, 2: 849, 3: 292, 5: 73, 8: 20, 17: 3, 6: 59, 9: 18, 10: 16, 15: 6, 16: 3, 7: 29, 18: 5, 12: 4, 22: 1, 13: 6, 11: 4, 14: 3, 19: 1}"
8e-05,80,5998,"{1: 4516, 4: 121, 3: 297, 12: 8, 11: 11, 2: 777, 7: 40, 10: 10, 5: 88, 9: 18, 6: 50, 8: 16, 13: 6, 27: 1, 17: 5, 15: 6, 14: 6, 23: 2, 19: 6, 20: 3, 22: 1, 25: 2, 30: 2, 80: 1, 16: 1, 33: 1, 44: 1, 21: 1, 18: 1}"
8e-05,55,6045,"{1: 4546, 4: 126, 7: 23, 17: 2, 2: 820, 6: 43, 3: 299, 8: 28, 15: 6, 9: 19, 5: 78, 14: 6, 12: 6, 18: 2, 19: 5, 10: 6, 24: 2, 38: 1, 25: 2, 11: 5, 26: 2, 23: 2, 16: 3, 13: 3, 20: 1, 55: 1, 40: 2, 41: 1, 31: 1, 22: 2, 37: 1, 54: 1}"
8e-05,57,5996,"{1: 4486, 3: 297, 5: 83, 2: 797, 24: 1, 20: 2, 4: 134, 23: 2, 12: 3, 10: 17, 16: 6, 7: 33, 8: 23, 28: 1, 6: 53, 14: 5, 27: 2, 11: 8, 9: 17, 15: 8, 18: 3, 29: 1, 19: 3, 22: 1, 30: 1, 57: 1, 33: 1, 21: 1, 48: 1, 13: 4, 17: 1}"
8e-05,42,6024,"{2: 823, 1: 4485, 9: 9, 11: 10, 3: 302, 5: 76, 4: 149, 8: 27, 42: 2, 24: 1, 32: 2, 6: 50, 7: 35, 13: 5, 10: 9, 19: 3, 22: 4, 31: 1, 14: 7, 15: 3, 16: 2, 17: 5, 20: 2, 40: 1, 29: 1, 12: 6, 34: 1, 18: 2, 21: 1}"
8e-05,70,5956,"{2: 830, 1: 4448, 7: 26, 10: 12, 6: 48, 32: 2, 3: 290, 13: 4, 4: 125, 14: 4, 23: 2, 8: 21, 5: 78, 11: 14, 15: 3, 19: 3, 22: 1, 60: 1, 17: 4, 12: 6, 9: 16, 70: 1, 36: 1, 16: 3, 24: 1, 29: 1, 18: 3, 25: 3, 39: 1, 49: 1, 27: 1, 31: 1, 52: 1}"
8e-05,32,5991,"{2: 825, 4: 148, 10: 15, 1: 4449, 14: 3, 17: 6, 3: 280, 5: 90, 13: 7, 6: 54, 11: 8, 27: 2, 20: 2, 21: 2, 15: 7, 12: 13, 7: 32, 31: 1, 32: 2, 18: 4, 16: 2, 8: 18, 9: 16, 22: 1, 25: 1, 19: 1, 24: 2}"
8e-05,93,5959,"{5: 73, 3: 263, 2: 836, 1: 4444, 6: 44, 9: 18, 12: 6, 8: 33, 4: 150, 13: 3, 7: 30, 10: 15, 21: 4, 18: 2, 11: 12, 27: 1, 33: 3, 14: 4, 28: 3, 23: 1, 15: 2, 19: 1, 93: 1, 17: 3, 34: 2, 42: 1, 16: 1, 39: 1, 41: 1, 29: 1}"
8e-05,45,6026,"{2: 821, 1: 4479, 8: 27, 4: 140, 3: 312, 6: 58, 41: 2, 5: 69, 7: 36, 14: 4, 20: 2, 21: 5, 12: 10, 24: 1, 10: 11, 18: 3, 9: 16, 15: 4, 19: 2, 11: 9, 13: 4, 17: 3, 45: 1, 28: 2, 16: 4, 22: 1}"
8e-05,84,5961,"{1: 4472, 3: 265, 2: 813, 6: 51, 4: 141, 18: 4, 12: 11, 5: 73, 10: 16, 14: 10, 13: 6, 44: 1, 9: 13, 8: 20, 7: 29, 51: 1, 30: 1, 11: 6, 16: 5, 24: 1, 25: 1, 15: 6, 84: 1, 19: 2, 20: 1, 29: 3, 22: 2, 21: 1, 23: 1, 32: 1, 17: 3}"
8e-05,64,5973,"{1: 4439, 3: 287, 2: 834, 12: 8, 5: 81, 7: 25, 6: 61, 13: 7, 14: 5, 9: 10, 4: 139, 17: 4, 37: 1, 18: 3, 8: 21, 22: 2, 23: 1, 10: 18, 21: 2, 16: 4, 38: 1, 32: 1, 11: 6, 53: 1, 15: 4, 36: 2, 64: 1, 24: 1, 20: 2, 19: 1, 35: 1}"
9e-05,84,5538,"{1: 4097, 5: 80, 4: 130, 2: 747, 17: 3, 13: 3, 8: 25, 3: 270, 11: 10, 9: 18, 47: 3, 14: 9, 10: 14, 7: 33, 26: 3, 15: 5, 6: 53, 12: 9, 66: 1, 21: 2, 43: 2, 18: 2, 16: 4, 48: 1, 28: 2, 84: 1, 25: 2, 20: 1, 51: 1, 23: 1, 46: 1, 53: 1, 71: 1, 39: 1, 34: 1, 31: 1}"
9e-05,149,5477,"{3: 263, 2: 765, 1: 4012, 21: 3, 6: 44, 7: 34, 8: 27, 4: 154, 28: 1, 11: 11, 10: 16, 35: 1, 81: 1, 18: 4, 20: 2, 9: 14, 95: 1, 5: 78, 34: 1, 115: 1, 14: 10, 38: 1, 15: 6, 27: 1, 12: 7, 16: 1, 31: 2, 13: 6, 149: 1, 19: 1, 29: 1, 47: 1, 17: 2, 25: 1, 55: 1, 41: 2}"
9e-05,106,5562,"{1: 4103, 3: 287, 2: 764, 7: 36, 12: 8, 5: 81, 32: 2, 31: 2, 9: 17, 4: 130, 22: 6, 11: 12, 54: 1, 20: 1, 16: 2, 8: 20, 19: 3, 15: 6, 14: 5, 6: 38, 30: 2, 41: 1, 60: 1, 18: 5, 10: 10, 71: 1, 74: 1, 17: 3, 23: 2, 13: 3, 47: 1, 36: 1, 33: 1, 27: 1, 106: 1, 21: 1, 25: 1, 28: 1, 26: 1}"
9e-05,297,5456,"{2: 698, 5: 69, 30: 1, 1: 4047, 18: 4, 3: 269, 9: 21, 8: 29, 4: 141, 20: 1, 7: 28, 6: 62, 14: 4, 10: 18, 12: 8, 11: 21, 22: 4, 15: 4, 64: 1, 37: 1, 23: 1, 28: 1, 13: 5, 42: 1, 35: 1, 25: 2, 17: 4, 43: 1, 91: 1, 297: 1, 21: 2, 27: 1, 16: 1, 19: 1, 31: 1, 41: 1}"
9e-05,78,5575,"{3: 289, 1: 4151, 4: 136, 5: 69, 2: 716, 14: 5, 6: 50, 9: 17, 12: 9, 28: 2, 8: 24, 7: 32, 29: 2, 10: 11, 11: 12, 69: 1, 22: 4, 15: 5, 32: 2, 20: 4, 23: 3, 19: 5, 35: 1, 13: 3, 18: 3, 27: 2, 17: 6, 16: 2, 30: 1, 67: 1, 65: 1, 26: 1, 31: 1, 21: 1, 39: 1, 45: 1, 78: 1}"
9e-05,117,5548,"{1: 4092, 18: 3, 3: 257, 12: 8, 2: 746, 6: 64, 11: 11, 5: 63, 14: 7, 15: 8, 4: 156, 8: 28, 16: 9, 7: 29, 9: 22, 19: 2, 50: 1, 10: 15, 13: 4, 20: 1, 27: 1, 117: 1, 36: 1, 46: 1, 31: 1, 23: 1, 17: 5, 34: 2, 21: 2, 22: 2, 67: 1, 43: 1, 32: 1, 63: 1, 30: 1}"
9e-05,164,5439,"{1: 4059, 2: 737, 5: 65, 50: 1, 3: 246, 12: 7, 11: 10, 7: 42, 4: 127, 6: 48, 10: 9, 8: 19, 25: 2, 15: 7, 31: 2, 30: 2, 55: 1, 18: 2, 16: 5, 13: 5, 14: 5, 62: 1, 164: 1, 32: 1, 38: 2, 24: 1, 43: 1, 9: 9, 42: 3, 60: 1, 19: 1, 20: 2, 22: 2, 68: 1, 52: 2, 37: 1, 23: 3, 33: 1, 51: 1, 21: 1, 26: 1, 17: 1, 48: 1}"
9e-05,163,5368,"{1: 3957, 2: 726, 6: 45, 4: 135, 3: 281, 5: 75, 7: 33, 42: 1, 12: 5, 9: 17, 10: 13, 31: 1, 77: 1, 30: 1, 23: 1, 39: 2, 18: 4, 8: 19, 21: 2, 40: 1, 52: 2, 26: 1, 24: 5, 48: 1, 11: 7, 20: 2, 13: 2, 34: 1, 17: 2, 19: 3, 16: 2, 35: 1, 14: 3, 37: 1, 15: 4, 56: 1, 47: 1, 27: 1, 33: 1, 163: 1, 69: 1, 25: 2, 22: 1, 78: 1, 85: 1}"
9e-05,197,5556,"{6: 49, 3: 296, 1: 4112, 2: 732, 8: 16, 48: 1, 21: 4, 89: 1, 24: 1, 13: 6, 34: 1, 4: 137, 7: 44, 5: 69, 26: 2, 14: 5, 31: 2, 11: 11, 22: 2, 16: 5, 17: 5, 12: 4, 35: 2, 15: 5, 9: 17, 45: 1, 18: 5, 20: 3, 10: 11, 32: 2, 197: 1, 49: 1, 28: 2, 25: 1}"
9e-05,65,5555,"{1: 4158, 2: 717, 8: 20, 3: 263, 5: 66, 28: 1, 4: 144, 7: 35, 6: 43, 12: 4, 9: 18, 10: 15, 16: 5, 55: 1, 21: 5, 15: 6, 27: 4, 20: 2, 18: 2, 11: 8, 13: 8, 34: 1, 24: 2, 22: 3, 42: 1, 31: 2, 25: 1, 29: 1, 14: 5, 51: 1, 65: 2, 17: 2, 47: 2, 19: 2, 23: 1, 64: 1, 45: 1, 62: 1, 39: 1}"
